situation,time,word,intentional_action,all_action
2,18.63,her,0.742574257,0.811881188
2,18.86,her,0.742574257,0.811881188
2,19.09,her,0.742574257,0.811881188
2,19.32,When,0.198019802,0.485148515
2,19.55,When,0.198019802,0.485148515
2,19.78,Jim,0.198019802,0.485148515
2,20.01,did,0.198019802,0.485148515
2,20.24,not,0.198019802,0.485148515
2,20.47,return,0.198019802,0.485148515
2,20.7,after,0.198019802,0.485148515
2,20.93,a,0.198019802,0.485148515
2,21.16,month,0.198019802,0.485148515
2,21.39,month,0.198019802,0.485148515
2,21.62,Gloria,0.277227723,0.554455446
2,21.85,Gloria,0.277227723,0.554455446
2,22.08,found,0.277227723,0.554455446
2,22.31,out,0.277227723,0.554455446
2,22.54,out,0.277227723,0.554455446
2,22.77,Jim,0.178217822,0.742574258
2,23.0,had,0.178217822,0.742574258
2,23.23,been,0.178217822,0.742574258
2,23.46,abducted,0.178217822,0.742574258
2,23.69,abducted,0.178217822,0.742574258
2,23.92,abducted,0.178217822,0.742574258
2,24.15,abducted,0.178217822,0.742574258
2,24.38,abducted,0.178217822,0.742574258
2,24.61,abducted,0.178217822,0.742574258
2,24.84,abducted,0.178217822,0.742574258
2,25.07,abducted,0.178217822,0.742574258
2,25.3,abducted,0.178217822,0.742574258
2,25.53,abducted,0.178217822,0.742574258
3,25.76,Gloria,0.257425743,0.465346535
3,25.99,Gloria,0.257425743,0.465346535
3,26.22,Gloria,0.257425743,0.465346535
3,26.45,was,0.257425743,0.465346535
3,26.68,was,0.257425743,0.465346535
3,26.91,devastated,0.257425743,0.465346535
3,27.14,devastated,0.257425743,0.465346535
3,27.37,and,0.712871287,0.762376237
3,27.6,looked,0.712871287,0.762376237
3,27.83,to,0.712871287,0.762376237
3,28.06,for,0.712871287,0.762376237
3,28.29,support,0.712871287,0.762376237
3,28.52,support,0.712871287,0.762376237
3,28.75,support,0.712871287,0.762376237
3,28.98,Steve,0.217821782,0.386138614
3,29.21,Steve,0.217821782,0.386138614
3,29.44,Steve,0.217821782,0.386138614
3,29.67,was,0.217821782,0.386138614
3,29.9,not,0.217821782,0.386138614
3,30.13,supportive,0.217821782,0.386138614
3,30.36,in,0.217821782,0.386138614
3,30.59,in,0.217821782,0.386138614
3,30.82,way,0.217821782,0.386138614
3,31.05,that,0.217821782,0.386138614
3,31.28,needed,0.217821782,0.386138614
3,31.51,needed,0.217821782,0.386138614
3,31.74,so,0.633663366,0.7227722769999999
3,31.97,so,0.633663366,0.7227722769999999
3,32.2,she,0.633663366,0.7227722769999999
3,32.43,turned,0.633663366,0.7227722769999999
3,32.66,to,0.633663366,0.7227722769999999
3,32.89,a,0.633663366,0.7227722769999999
3,33.12,coworker,0.633663366,0.7227722769999999
3,33.35,named,0.633663366,0.7227722769999999
3,33.58,Derek,0.633663366,0.7227722769999999
3,33.81,Derek,0.633663366,0.7227722769999999
3,34.04,and,0.465346535,0.524752476
3,34.27,he,0.465346535,0.524752476
3,34.5,there,0.465346535,0.524752476
3,34.73,for,0.465346535,0.524752476
3,34.96,in,0.465346535,0.524752476
3,35.19,every,0.465346535,0.524752476
3,35.42,way,0.465346535,0.524752476
3,35.65,way,0.465346535,0.524752476
3,35.88,possible,0.465346535,0.524752476
3,36.11,possible,0.465346535,0.524752476
3,36.34,The,0.752475248,0.8415841589999999
3,36.57,The,0.752475248,0.8415841589999999
3,36.8,The,0.752475248,0.8415841589999999
3,37.03,of,0.752475248,0.8415841589999999
3,37.26,them,0.752475248,0.8415841589999999
3,37.49,spending,0.752475248,0.8415841589999999
3,37.72,spending,0.752475248,0.8415841589999999
3,37.95,a,0.752475248,0.8415841589999999
3,38.18,lot,0.752475248,0.8415841589999999
3,38.41,of,0.752475248,0.8415841589999999
3,38.64,time,0.752475248,0.8415841589999999
3,38.87,together,0.752475248,0.8415841589999999
3,39.1,and,0.455445545,0.7920792080000001
3,39.33,quickly,0.455445545,0.7920792080000001
3,39.56,developed,0.455445545,0.7920792080000001
3,39.79,developed,0.455445545,0.7920792080000001
3,40.02,a,0.455445545,0.7920792080000001
3,40.25,a,0.455445545,0.7920792080000001
3,40.48,romantic,0.455445545,0.7920792080000001
3,40.71,relationship,0.455445545,0.7920792080000001
3,40.94,relationship,0.455445545,0.7920792080000001
3,41.17,relationship,0.455445545,0.7920792080000001
3,41.4,Gloria,0.712871287,0.752475247
3,41.63,Gloria,0.712871287,0.752475247
3,41.86,Gloria,0.712871287,0.752475247
3,42.09,Gloria,0.712871287,0.752475247
3,42.32,and,0.712871287,0.752475247
3,42.55,Derek,0.712871287,0.752475247
3,42.78,decided,0.712871287,0.752475247
3,43.01,decided,0.712871287,0.752475247
3,43.24,that,0.554455446,0.6237623769999999
3,43.47,they,0.554455446,0.6237623769999999
3,43.7,wanted,0.554455446,0.6237623769999999
3,43.93,to,0.554455446,0.6237623769999999
3,44.16,be,0.554455446,0.6237623769999999
3,44.39,together,0.554455446,0.6237623769999999
3,44.62,that,0.227722772,0.3663366329999999
3,44.85,Steve,0.227722772,0.3663366329999999
3,45.08,was,0.227722772,0.3663366329999999
3,45.31,in,0.227722772,0.3663366329999999
3,45.54,way,0.227722772,0.3663366329999999
3,45.77,way,0.227722772,0.3663366329999999
3,46.0,way,0.227722772,0.3663366329999999
3,46.23,way,0.227722772,0.3663366329999999
3,46.46,way,0.227722772,0.3663366329999999
3,46.69,way,0.227722772,0.3663366329999999
3,46.92,way,0.227722772,0.3663366329999999
3,47.15,way,0.227722772,0.3663366329999999
3,47.38,way,0.227722772,0.3663366329999999
3,47.61,way,0.227722772,0.3663366329999999
3,47.84,way,0.227722772,0.3663366329999999
4,48.07,One,0.792079208,0.811881188
4,48.3,One,0.792079208,0.811881188
4,48.53,One,0.792079208,0.811881188
4,48.76,day,0.792079208,0.811881188
4,48.99,day,0.792079208,0.811881188
4,49.22,Gloria,0.792079208,0.811881188
4,49.45,Gloria,0.792079208,0.811881188
4,49.68,and,0.792079208,0.811881188
4,49.91,and,0.792079208,0.811881188
4,50.14,Derek,0.792079208,0.811881188
4,50.37,were,0.792079208,0.811881188
4,50.6,having,0.792079208,0.811881188
4,50.83,dinner,0.792079208,0.811881188
4,51.06,in,0.792079208,0.811881188
4,51.29,the,0.792079208,0.811881188
4,51.52,city,0.792079208,0.811881188
4,51.75,together,0.792079208,0.811881188
4,51.98,together,0.792079208,0.811881188
4,52.21,together,0.792079208,0.811881188
4,52.44,Steve,0.366336634,0.792079208
4,52.67,Steve,0.366336634,0.792079208
4,52.9,found,0.366336634,0.792079208
4,53.13,found,0.366336634,0.792079208
4,53.36,them,0.366336634,0.792079208
4,53.59,and,0.722772277,0.841584158
4,53.82,confronted,0.722772277,0.841584158
4,54.05,them,0.722772277,0.841584158
4,54.28,about,0.722772277,0.841584158
4,54.51,the,0.722772277,0.841584158
4,54.74,affair,0.722772277,0.841584158
4,54.97,affair,0.722772277,0.841584158
4,55.2,affair,0.722772277,0.841584158
4,55.43,Steve,0.841584158,0.891089108
4,55.66,Steve,0.841584158,0.891089108
4,55.89,Steve,0.841584158,0.891089108
4,56.12,pled,0.841584158,0.891089108
4,56.35,for,0.841584158,0.891089108
4,56.58,for,0.841584158,0.891089108
4,56.81,Gloria,0.841584158,0.891089108
4,57.04,to,0.841584158,0.891089108
4,57.27,stay,0.841584158,0.891089108
4,57.5,with,0.841584158,0.891089108
4,57.73,him,0.841584158,0.891089108
4,57.96,but,0.762376238,0.8316831689999999
4,58.19,but,0.762376238,0.8316831689999999
4,58.42,she,0.762376238,0.8316831689999999
4,58.65,refused,0.762376238,0.8316831689999999
4,58.88,and,0.762376238,0.8316831689999999
4,59.11,demanded,0.762376238,0.8316831689999999
4,59.34,demanded,0.762376238,0.8316831689999999
4,59.57,a,0.762376238,0.8316831689999999
4,59.8,divorce,0.762376238,0.8316831689999999
4,60.03,divorce,0.762376238,0.8316831689999999
4,60.26,divorce,0.762376238,0.8316831689999999
4,60.49,divorce,0.762376238,0.8316831689999999
4,60.72,divorce,0.762376238,0.8316831689999999
4,60.95,divorce,0.762376238,0.8316831689999999
4,61.18,divorce,0.762376238,0.8316831689999999
4,61.41,divorce,0.762376238,0.8316831689999999
4,61.64,divorce,0.762376238,0.8316831689999999
4,61.87,divorce,0.762376238,0.8316831689999999
5,62.1,Steve,0.851485149,0.93069307
5,62.33,Steve,0.851485149,0.93069307
5,62.56,Steve,0.851485149,0.93069307
5,62.79,turned,0.851485149,0.93069307
5,63.02,to,0.851485149,0.93069307
5,63.25,Derek,0.851485149,0.93069307
5,63.48,and,0.851485149,0.93069307
5,63.71,begged,0.851485149,0.93069307
5,63.94,him,0.851485149,0.93069307
5,64.17,not,0.851485149,0.93069307
5,64.4,to,0.851485149,0.93069307
5,64.63,his,0.851485149,0.93069307
5,64.86,wife,0.851485149,0.93069307
5,65.09,from,0.851485149,0.93069307
5,65.32,him,0.851485149,0.93069307
5,65.55,but,0.702970297,0.792079208
5,65.78,but,0.702970297,0.792079208
5,66.01,Derek,0.702970297,0.792079208
5,66.24,Derek,0.702970297,0.792079208
5,66.47,refused,0.702970297,0.792079208
5,66.7,because,0.306930693,0.405940594
5,66.93,because,0.306930693,0.405940594
5,67.16,he,0.306930693,0.405940594
5,67.39,was,0.306930693,0.405940594
5,67.62,in,0.306930693,0.405940594
5,67.85,with,0.306930693,0.405940594
5,68.08,Gloria,0.306930693,0.405940594
5,68.31,Gloria,0.306930693,0.405940594
5,68.54,Gloria,0.306930693,0.405940594
5,68.77,Gloria,0.306930693,0.405940594
5,69.0,Gloria,0.306930693,0.405940594
5,69.23,Gloria,0.306930693,0.405940594
5,69.46,Gloria,0.306930693,0.405940594
5,69.69,Gloria,0.306930693,0.405940594
5,69.92,Gloria,0.306930693,0.405940594
6,70.15,Gloria,0.306930693,0.405940594
6,70.38,Gloria,0.306930693,0.405940594
6,70.61,Gloria,0.306930693,0.405940594
6,70.84,exclaimed,0.663366337,0.742574258
6,71.07,exclaimed,0.663366337,0.742574258
6,71.3,exclaimed,0.663366337,0.742574258
6,71.53,that,0.306930693,0.376237624
6,71.76,was,0.306930693,0.376237624
6,71.99,her,0.306930693,0.376237624
6,72.22,decision,0.306930693,0.376237624
6,72.45,and,0.693069307,0.742574257
6,72.68,that,0.693069307,0.742574257
6,72.91,was,0.693069307,0.742574257
6,73.14,going,0.693069307,0.742574257
6,73.37,to,0.693069307,0.742574257
6,73.6,choose,0.693069307,0.742574257
6,73.83,Derek,0.693069307,0.742574257
6,74.06,over,0.693069307,0.742574257
6,74.29,Steve,0.693069307,0.742574257
6,74.52,Steve,0.693069307,0.742574257
6,74.75,Steve,0.693069307,0.742574257
6,74.98,Steve,0.693069307,0.742574257
6,75.21,Steve,0.693069307,0.742574257
6,75.44,Steve,0.693069307,0.742574257
6,75.67,Steve,0.693069307,0.742574257
6,75.9,Steve,0.693069307,0.742574257
6,76.13,Steve,0.693069307,0.742574257
7,76.36,The,0.841584158,0.881188118
7,76.59,The,0.841584158,0.881188118
7,76.82,The,0.841584158,0.881188118
7,77.05,next,0.841584158,0.881188118
7,77.28,day,0.841584158,0.881188118
7,77.51,Gloria,0.841584158,0.881188118
7,77.74,Gloria,0.841584158,0.881188118
7,77.97,Gloria,0.841584158,0.881188118
7,78.2,and,0.841584158,0.881188118
7,78.43,Derek,0.841584158,0.881188118
7,78.66,fled,0.841584158,0.881188118
7,78.89,to,0.841584158,0.881188118
7,79.12,to,0.841584158,0.881188118
7,79.35,Gloria's,0.841584158,0.881188118
7,79.58,family's,0.841584158,0.881188118
7,79.81,family's,0.841584158,0.881188118
7,80.04,beach,0.841584158,0.881188118
7,80.27,beach,0.841584158,0.881188118
7,80.5,house,0.841584158,0.881188118
7,80.73,be,0.841584158,0.881188118
7,80.96,alone,0.841584158,0.881188118
7,81.19,alone,0.841584158,0.881188118
7,81.42,When,0.415841584,0.485148515
7,81.65,When,0.415841584,0.485148515
7,81.88,When,0.415841584,0.485148515
7,82.11,they,0.415841584,0.485148515
7,82.34,to,0.415841584,0.485148515
7,82.57,the,0.415841584,0.485148515
7,82.8,house,0.415841584,0.485148515
7,83.03,house,0.415841584,0.485148515
7,83.26,they,0.247524752,0.801980198
7,83.49,they,0.247524752,0.801980198
7,83.72,found,0.247524752,0.801980198
7,83.95,Gloria's,0.247524752,0.801980198
7,84.18,Gloria's,0.247524752,0.801980198
7,84.41,brother,0.247524752,0.801980198
7,84.64,brother,0.247524752,0.801980198
7,84.87,Jim,0.247524752,0.801980198
7,85.1,Jim,0.247524752,0.801980198
7,85.33,tied,0.247524752,0.801980198
7,85.56,up,0.247524752,0.801980198
7,85.79,to,0.247524752,0.801980198
7,86.02,chair,0.247524752,0.801980198
7,86.25,chair,0.247524752,0.801980198
7,86.48,chair,0.247524752,0.801980198
7,86.71,chair,0.247524752,0.801980198
7,86.94,chair,0.247524752,0.801980198
7,87.17,chair,0.247524752,0.801980198
7,87.4,chair,0.247524752,0.801980198
7,87.63,chair,0.247524752,0.801980198
7,87.86,chair,0.247524752,0.801980198
7,88.09,chair,0.247524752,0.801980198
8,88.32,Apparently,0.138613861,0.3564356429999999
8,88.55,Apparently,0.138613861,0.3564356429999999
8,88.78,Apparently,0.138613861,0.3564356429999999
8,89.01,Apparently,0.138613861,0.3564356429999999
8,89.24,Apparently,0.138613861,0.3564356429999999
8,89.47,he,0.138613861,0.3564356429999999
8,89.7,had,0.138613861,0.3564356429999999
8,89.93,never,0.138613861,0.3564356429999999
8,90.16,left,0.138613861,0.3564356429999999
8,90.39,for,0.138613861,0.3564356429999999
8,90.62,Europe,0.138613861,0.3564356429999999
8,90.85,but,0.217821782,0.712871287
8,91.08,but,0.217821782,0.712871287
8,91.31,being,0.217821782,0.712871287
8,91.54,held,0.217821782,0.712871287
8,91.77,captive,0.217821782,0.712871287
8,92.0,captive,0.217821782,0.712871287
8,92.23,captive,0.217821782,0.712871287
8,92.46,Gloria,0.782178218,0.8910891089999999
8,92.69,Gloria,0.782178218,0.8910891089999999
8,92.92,Gloria,0.782178218,0.8910891089999999
8,93.15,rushed,0.782178218,0.8910891089999999
8,93.38,rushed,0.782178218,0.8910891089999999
8,93.61,to,0.782178218,0.8910891089999999
8,93.84,to,0.782178218,0.8910891089999999
8,94.07,him,0.782178218,0.8910891089999999
8,94.3,but,0.445544554,0.504950495
8,94.53,as,0.445544554,0.504950495
8,94.76,she,0.445544554,0.504950495
8,94.99,about,0.445544554,0.504950495
8,95.22,to,0.445544554,0.504950495
8,95.45,untie,0.445544554,0.504950495
8,95.68,him,0.445544554,0.504950495
8,95.91,him,0.445544554,0.504950495
8,96.14,Jim's,0.613861386,0.900990099
8,96.37,Jim's,0.613861386,0.900990099
8,96.6,abductor,0.613861386,0.900990099
8,96.83,abductor,0.613861386,0.900990099
8,97.06,seized,0.613861386,0.900990099
8,97.29,seized,0.613861386,0.900990099
8,97.52,Gloria,0.613861386,0.900990099
8,97.75,and,0.613861386,0.900990099
8,97.98,and,0.613861386,0.900990099
8,98.21,threw,0.613861386,0.900990099
8,98.44,to,0.613861386,0.900990099
8,98.67,the,0.613861386,0.900990099
8,98.9,ground,0.613861386,0.900990099
8,99.13,ground,0.613861386,0.900990099
8,99.36,ground,0.613861386,0.900990099
8,99.59,ground,0.613861386,0.900990099
8,99.82,ground,0.613861386,0.900990099
8,100.05,ground,0.613861386,0.900990099
8,100.28,ground,0.613861386,0.900990099
8,100.51,ground,0.613861386,0.900990099
8,100.74,ground,0.613861386,0.900990099
9,100.97,In,0.752475248,0.8811881189999999
9,101.2,In,0.752475248,0.8811881189999999
9,101.43,In,0.752475248,0.8811881189999999
9,101.66,defense,0.752475248,0.8811881189999999
9,101.89,of,0.752475248,0.8811881189999999
9,102.12,Gloria,0.752475248,0.8811881189999999
9,102.35,and,0.752475248,0.8811881189999999
9,102.58,and,0.752475248,0.8811881189999999
9,102.81,Jim,0.752475248,0.8811881189999999
9,103.04,Jim,0.752475248,0.8811881189999999
9,103.27,Derek,0.752475248,0.8811881189999999
9,103.5,Derek,0.752475248,0.8811881189999999
9,103.73,grabbed,0.752475248,0.8811881189999999
9,103.96,a,0.752475248,0.8811881189999999
9,104.19,a,0.752475248,0.8811881189999999
9,104.42,and,0.762376238,0.900990099
9,104.65,hit,0.762376238,0.900990099
9,104.88,the,0.762376238,0.900990099
9,105.11,abductor,0.762376238,0.900990099
9,105.34,so,0.762376238,0.900990099
9,105.57,hard,0.762376238,0.900990099
9,105.8,that,0.059405941,0.762376238
9,106.03,he,0.059405941,0.762376238
9,106.26,died,0.059405941,0.762376238
9,106.49,died,0.059405941,0.762376238
9,106.72,Gloria,0.821782178,0.910891089
9,106.95,Gloria,0.821782178,0.910891089
9,107.18,Gloria,0.821782178,0.910891089
9,107.41,released,0.821782178,0.910891089
9,107.64,released,0.821782178,0.910891089
9,107.87,her,0.821782178,0.910891089
9,108.1,her,0.821782178,0.910891089
9,108.33,brother,0.821782178,0.910891089
9,108.56,and,0.247524752,0.3861386129999999
9,108.79,two,0.247524752,0.3861386129999999
9,109.02,were,0.247524752,0.3861386129999999
9,109.25,finally,0.247524752,0.3861386129999999
9,109.48,reunited,0.247524752,0.3861386129999999
9,109.71,reunited,0.247524752,0.3861386129999999
9,109.94,reunited,0.247524752,0.3861386129999999
9,110.17,reunited,0.247524752,0.3861386129999999
9,110.4,reunited,0.247524752,0.3861386129999999
9,110.63,reunited,0.247524752,0.3861386129999999
9,110.86,reunited,0.247524752,0.3861386129999999
9,111.09,reunited,0.247524752,0.3861386129999999
9,111.32,reunited,0.247524752,0.3861386129999999
9,111.55,reunited,0.247524752,0.3861386129999999
9,111.78,reunited,0.247524752,0.3861386129999999
9,112.01,reunited,0.247524752,0.3861386129999999
