ID,time,rating
sub-089,5.75,55.2
sub-091,5.75,97.31071428571428
sub-092,5.75,12.528571428571428
sub-094,5.75,2.0318840579710145
sub-097,5.75,61.87976190476191
sub-100,5.75,100.0
sub-103,5.75,25.1
sub-104,5.75,31.7
sub-108,5.75,69.3
sub-113,5.75,49.4
sub-114,5.75,77.74514285714285
sub-115,5.75,5.2
sub-117,5.75,66.2
sub-118,5.75,64.42771084337349
sub-126,5.75,99.9
sub-127,5.75,80.3
sub-129,5.75,48.77349397590361
sub-131,5.75,43.13333333333333
sub-139,5.75,47.31428571428572
sub-140,5.75,72.8
sub-146,5.75,51.6
sub-147,5.75,70.4
sub-149,5.75,32.28535969709718
sub-152,5.75,81.7
sub-153,5.75,36.92142857142857
sub-157,5.75,15.402409638554218
sub-159,5.75,72.6
sub-173,5.75,78.8
sub-174,5.75,32.7174358974359
sub-175,5.75,0.7
sub-177,5.75,49.385185185185186
sub-178,5.75,8.54875
sub-179,5.75,73.1
sub-180,5.75,88.04230769230769
sub-186,5.75,18.8
sub-187,5.75,11.5
sub-195,5.75,13.2
sub-199,5.75,23.043283582089554
sub-201,5.75,30.439285714285713
sub-202,5.75,48.0
sub-205,5.75,79.9
sub-208,5.75,45.3
sub-209,5.75,12.433333333333334
sub-210,5.75,84.3
sub-212,5.75,21.1
sub-215,5.75,0.7
sub-217,5.75,97.91463414634147
sub-219,5.75,49.5
sub-220,5.75,49.9
sub-222,5.75,61.5
sub-224,5.75,7.2
sub-230,5.75,8.4
sub-231,5.75,98.9
sub-001,5.98,27.439999999999998
sub-003,5.98,21.839
sub-012,5.98,31.4
sub-016,5.98,
sub-021,5.98,76.2
sub-025,5.98,16.1
sub-026,5.98,50.5
sub-027,5.98,49.8
sub-028,5.98,
sub-029,5.98,100.0
sub-030,5.98,50.3
sub-031,5.98,43.4
sub-033,5.98,49.9
sub-039,5.98,24.7
sub-042,5.98,75.7
sub-044,5.98,5.5
sub-048,5.98,92.4
sub-049,5.98,16.754285714285714
sub-056,5.98,100.0
sub-058,5.98,3.6
sub-062,5.98,60.63139534883721
sub-064,5.98,32.2
sub-069,5.98,1.7869047619047618
sub-074,5.98,25.5
sub-076,5.98,67.02289156626506
sub-078,5.98,14.242268041237113
sub-082,5.98,1.1773809523809524
sub-085,5.98,6.99277108433735
sub-089,5.98,55.2
sub-091,5.98,99.6
sub-092,5.98,11.345882352941176
sub-094,5.98,2.3652173913043475
sub-097,5.98,78.4
sub-100,5.98,100.0
sub-103,5.98,25.1
sub-104,5.98,40.6
sub-108,5.98,70.5
sub-113,5.98,49.4
sub-114,5.98,76.78387096774193
sub-115,5.98,5.2
sub-117,5.98,65.84761904761905
sub-118,5.98,65.11428571428571
sub-126,5.98,99.9
sub-127,5.98,80.3
sub-129,5.98,49.1
sub-131,5.98,43.2
sub-139,5.98,48.1
sub-140,5.98,72.8
sub-146,5.98,51.6
sub-147,5.98,70.4
sub-149,5.98,38.82637778712663
sub-152,5.98,81.5
sub-153,5.98,43.5
sub-157,5.98,42.10566037735849
sub-159,5.98,72.6
sub-173,5.98,78.8
sub-174,5.98,57.40803418803419
sub-175,5.98,0.7
sub-177,5.98,49.6
sub-178,5.98,7.305
sub-179,5.98,73.1
sub-180,5.98,86.6103448275862
sub-186,5.98,18.8
sub-187,5.98,18.799999999999997
sub-195,5.98,26.91166077738516
sub-199,5.98,20.017910447761192
sub-201,5.98,32.818072289156625
sub-202,5.98,48.0
sub-205,5.98,79.9
sub-208,5.98,46.41686746987952
sub-209,5.98,29.750746268656716
sub-210,5.98,84.3
sub-212,5.98,21.1
sub-215,5.98,0.7
sub-217,5.98,95.85609756097561
sub-219,5.98,49.5
sub-220,5.98,49.9
sub-222,5.98,48.285714285714285
sub-224,5.98,7.2
sub-230,5.98,8.4
sub-231,5.98,98.9
sub-001,6.21,37.963
sub-003,6.21,52.60149253731343
sub-012,6.21,31.4
sub-016,6.21,
sub-021,6.21,75.7
sub-025,6.21,16.1
sub-026,6.21,50.5
sub-027,6.21,49.8
sub-028,6.21,
sub-029,6.21,100.0
sub-030,6.21,50.3
sub-031,6.21,43.4
sub-033,6.21,49.9
sub-039,6.21,24.7
sub-042,6.21,67.7164705882353
sub-044,6.21,5.5
sub-048,6.21,92.4
sub-049,6.21,14.850000000000001
sub-056,6.21,100.0
sub-058,6.21,3.6
sub-062,6.21,62.8
sub-064,6.21,32.2
sub-069,6.21,2.9
sub-074,6.21,25.5
sub-076,6.21,74.5
sub-078,6.21,14.3
sub-082,6.21,2.9176470588235293
sub-085,6.21,12.72289156626506
sub-089,6.21,55.2
sub-091,6.21,99.6
sub-092,6.21,11.0
sub-094,6.21,2.6985507246376814
sub-097,6.21,95.42530120481928
sub-100,6.21,100.0
sub-103,6.21,25.956626506024097
sub-104,6.21,54.86341463414634
sub-108,6.21,52.371428571428574
sub-113,6.21,49.4
sub-114,6.21,76.21703296703296
sub-115,6.21,5.2
sub-117,6.21,65.8
sub-118,6.21,68.04285714285714
sub-126,6.21,99.9
sub-127,6.21,80.3
sub-129,6.21,49.1
sub-131,6.21,43.2
sub-139,6.21,48.6
sub-140,6.21,72.8
sub-146,6.21,51.6
sub-147,6.21,70.4
sub-149,6.21,45.36739587715607
