EP_Subject: 34
EP_session: 1
empathy_Subject: 034
Experimenter: LL
Subject	TrialNum	Stimulusbl	Stimulusbias	CursorTime	CursorRating
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	123585	29.8449612403101
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	123685	29.8449612403101
034	7	Stimuli\Videoclips\mn106t1aaaff_M	null	123785	29.8449612403101
034	8	Stimuli\Videoclips\mn106t1aeaff_L	null	135438	50
034	8	Stimuli\Videoclips\mn106t1aeaff_L	null	135538	50
034	8	Stimuli\Videoclips\mn106t1aeaff_L	null	135638	50
034	8	Stimuli\Videoclips\mn106t1aeaff_L	null	135738	50
034	8	Stimuli\Videoclips\mn106t1aeaff_L	null	135838	0
034	8	Stimuli\Videoclips\mn106t1aeaff_L	null	135938	0
034	8	Stimuli\Videoclips\mn106t1aeaff_L	null	136038	0
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	147664	50
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	147764	50
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	147864	50
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	147964	50
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	148064	50
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	148164	50.7751937984496
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	148264	59.3023255813954
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	148364	69.7674418604651
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	148464	64.7286821705426
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	148564	30.6201550387597
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	148664	23.6434108527132
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	148764	24.031007751938
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	148864	31.0077519379845
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	148964	36.8217054263566
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	149064	38.3720930232558
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	149164	38.7596899224806
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	149264	38.7596899224806
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	149364	39.922480620155
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	149464	41.4728682170543
034	9	Stimuli\Videoclips\mn106t1afaff_H1	null	149564	41.8604651162791
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	161117	50
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	161217	50
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	161317	50
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	161417	50
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	161517	50
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	161617	48.062015503876
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	161717	46.5116279069767
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	161817	46.1240310077519
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	161917	43.4108527131783
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	162017	41.4728682170543
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	162117	41.4728682170543
034	10	Stimuli\Videoclips\hs107t1afaff_H	null	162217	41.4728682170543
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	173863	50
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	173963	50
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	174063	50
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	174163	50
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	174263	44.9612403100775
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	174363	0
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	174463	0
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	174563	0
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	174663	0
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	174763	4.26356589147287
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	174863	9.68992248062016
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	174963	10.4651162790698
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	175063	10.4651162790698
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	175163	10.077519379845
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	175263	10.077519379845
034	11	Stimuli\Videoclips\hs107t1afunaff_M	null	175363	9.30232558139535
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	187062	50
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	187162	50
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	187262	50
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	187362	50
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	187462	45.3488372093023
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	187562	32.1705426356589
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	187662	29.8449612403101
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	187762	20.1550387596899
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	187862	8.91472868217054
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	187962	6.58914728682171
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	188062	6.58914728682171
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	188162	6.58914728682171
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	188262	6.58914728682171
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	188362	6.58914728682171
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	188462	6.97674418604651
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	188562	10.4651162790698
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	188662	10.4651162790698
034	12	Stimuli\Videoclips\hs107t2aeunaff_L	null	188762	10.4651162790698
034	13	Stimuli\Videoclips\ht108t1aaunaff_L	null	200342	48.062015503876
034	13	Stimuli\Videoclips\ht108t1aaunaff_L	null	200442	47.6744186046512
034	13	Stimuli\Videoclips\ht108t1aaunaff_L	null	200542	47.6744186046512
034	13	Stimuli\Videoclips\ht108t1aaunaff_L	null	200642	0
034	13	Stimuli\Videoclips\ht108t1aaunaff_L	null	200742	0
034	13	Stimuli\Videoclips\ht108t1aaunaff_L	null	200842	0
034	13	Stimuli\Videoclips\ht108t1aaunaff_L	null	200942	0
034	14	Stimuli\Videoclips\ht108t1aeaff_H	null	212581	50
034	14	Stimuli\Videoclips\ht108t1aeaff_H	null	212681	50
034	14	Stimuli\Videoclips\ht108t1aeaff_H	null	212781	50
034	14	Stimuli\Videoclips\ht108t1aeaff_H	null	212881	50
034	14	Stimuli\Videoclips\ht108t1aeaff_H	null	212981	50
034	14	Stimuli\Videoclips\ht108t1aeaff_H	null	213081	50
034	14	Stimuli\Videoclips\ht108t1aeaff_H	null	213181	50
034	14	Stimuli\Videoclips\ht108t1aeaff_H	null	213281	50
034	14	Stimuli\Videoclips\ht108t1aeaff_H	null	213381	50
034	15	Stimuli\Videoclips\ht108t1afaff_M1	null	225047	50
034	15	Stimuli\Videoclips\ht108t1afaff_M1	null	225147	50
034	15	Stimuli\Videoclips\ht108t1afaff_M1	null	225247	50
